Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"18 Sep 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;145.00;147.60;144.80;145.00;"17/09/2025 16:25";CET;116425;16956817.90;145.00;17/09/2025
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6.95;6.95;6.90;6.90;"17/09/2025 16:25";CET;108437;748789.48;6.90;17/09/2025
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;9.12;9.16;9.04;9.10;"17/09/2025 16:25";CET;27889;252860.48;9.10;17/09/2025
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;170.00;170.80;168.20;169.60;"17/09/2025 16:25";CET;63172;10684500.20;169.60;17/09/2025
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;22.60;23.70;22.50;23.70;"17/09/2025 16:25";CET;19738;451915.60;23.70;17/09/2025
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;0.151;0.1585;0.145;0.157;"17/09/2025 16:25";CET;322658;47915.82;0.157;17/09/2025
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;11.36;11.46;11.26;11.34;"17/09/2025 16:25";CET;127499;1445952.20;11.34;17/09/2025
AKER;NO0010234552;AKER;"Oslo Børs";NOK;718.00;719.00;709.00;714.00;"17/09/2025 16:25";CET;29133;20799479.00;714.00;17/09/2025
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;87.60;89.60;87.60;88.40;"17/09/2025 16:25";CET;12503;1111649.30;88.40;17/09/2025
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;246.60;246.60;244.10;246.30;"17/09/2025 16:29";CET;626940;154222630.80;246.30;17/09/2025
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;0.32;0.3574;0.28;0.29;"17/09/2025 16:29";CET;23081924;7101048.18;0.29;17/09/2025
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;0.65;0.663;0.557;0.563;"17/09/2025 16:25";CET;16212761;9610518.24;0.563;17/09/2025
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;30.18;30.26;29.74;29.88;"17/09/2025 16:25";CET;568481;16999318.16;29.88;17/09/2025
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;94.00;94.60;92.80;94.60;"17/09/2025 16:25";CET;685;64539.40;94.60;17/09/2025
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;1.488;1.492;1.48;1.492;"17/09/2025 16:25";CET;34901;51885.65;1.492;17/09/2025
ARCHER;BMG0451H2087;ARCH;"Oslo Børs";NOK;24.05;25.10;24.05;25.00;"17/09/2025 16:25";CET;278530;6941362.70;25.00;17/09/2025
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;25.60;26.00;25.10;25.10;"17/09/2025 16:25";CET;15164;388773.50;25.10;17/09/2025
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;134.00;136.50;134.00;136.50;"17/09/2025 14:46";CET;1098;149219.00;136.50;17/09/2025
"ARRIBATEC GROUP";NO0012861667;ARR;"Oslo Børs";NOK;0.69;0.69;0.668;0.68;"17/09/2025 16:25";CET;711168;481103.52;0.68;17/09/2025
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;144.00;144.80;140.00;144.40;"17/09/2025 16:25";CET;109842;15719345.40;144.40;17/09/2025
"ATLANTIC SAPPHI TR";NO0013340802;ASAS;"Oslo Børs";NOK;0.37;0.371;0.37;0.371;"16/09/2025 16:25";CET;10000;3707.73;0.371;17/09/2025
"ATLANTIC SAPPHIRE";NO0013464750;ASA;"Oslo Børs";NOK;7.81;8.00;7.51;7.81;"17/09/2025 16:25";CET;65084;503604.32;7.81;17/09/2025
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;241.95;242.00;241.95;241.95;"17/09/2025 15:42";CET;1712;414273.90;241.95;17/09/2025
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;96.30;97.20;95.90;96.90;"17/09/2025 16:25";CET;52506;5080571.60;96.90;17/09/2025
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;9.625;9.815;9.17;9.325;"17/09/2025 16:25";CET;2877075;27123700.80;9.325;17/09/2025
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;7.80;7.96;7.80;7.90;"17/09/2025 16:25";CET;285932;2252324.78;7.90;17/09/2025
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;16.40;16.50;16.30;16.40;"17/09/2025 16:25";CET;133523;2188440.16;16.40;17/09/2025
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;476.20;484.80;475.20;483.60;"17/09/2025 16:28";CET;161847;78113826.80;483.60;17/09/2025
BERGENBIO;NO0013251173;BGBIO;"Oslo Børs";NOK;1.20;1.20;1.12;1.188;"17/09/2025 16:25";CET;106013;122277.69;1.188;17/09/2025
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;17.60;17.82;17.56;17.70;"17/09/2025 16:25";CET;115194;2035994.86;17.70;17/09/2025
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;138.00;138.00;138.00;138.00;"17/09/2025 16:25";CET;4;552.00;138.00;17/09/2025
BLUENORD;NO0010379266;BNOR;"Oslo Børs";NOK;446.00;454.00;441.00;452.50;"17/09/2025 16:25";CET;40367;18120484.50;452.50;17/09/2025
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;221.00;222.50;220.00;221.00;"17/09/2025 16:25";CET;7733;1709266.00;221.00;17/09/2025
BORGESTAD;NO0013256180;BOR;"Oslo Børs";NOK;18.45;18.45;17.90;17.95;"17/09/2025 16:25";CET;14779;267280.50;17.95;17/09/2025
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;203.00;203.00;200.00;200.50;"17/09/2025 16:25";CET;52984;10641057.00;200.50;17/09/2025
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;66.40;67.20;66.10;66.10;"17/09/2025 16:25";CET;35349;2348093.80;66.10;17/09/2025
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;35.60;37.60;35.60;37.55;"17/09/2025 16:25";CET;44502;1659667.05;37.55;17/09/2025
"BW LPG";SGXZ69436764;BWLPG;"Oslo Børs";NOK;157.50;158.10;155.70;157.30;"17/09/2025 16:25";CET;262684;41205817.50;157.30;17/09/2025
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;35.50;35.50;34.75;35.25;"17/09/2025 16:25";CET;114474;4015937.85;35.25;17/09/2025
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;15.00;15.00;13.80;14.90;"17/09/2025 16:02";CET;148561;2165059.10;14.90;17/09/2025
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;51.15;51.75;50.95;51.65;"17/09/2025 16:25";CET;277900;14312313.15;51.65;17/09/2025
"CAPSOL TECHNOLOGI";NO0010923121;CAPSL;"Oslo Børs";NOK;7.62;8.38;7.60;7.90;"17/09/2025 16:02";CET;116392;925254.30;7.90;17/09/2025
"CAVENDISH HYDROGEN";NO0013219535;CAVEN;"Oslo Børs";NOK;7.35;7.71;7.35;7.51;"17/09/2025 16:25";CET;45826;347754.55;7.51;17/09/2025
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;0.629;0.629;0.60;0.629;"17/09/2025 16:25";CET;291506;176012.41;0.629;17/09/2025
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;13.56;13.84;13.20;13.46;"17/09/2025 16:25";CET;120121;1625861.24;13.46;17/09/2025
CMB.TECH;BE0003816338;CMBTO;"Oslo Børs";NOK;92.50;93.50;91.30;92.00;"17/09/2025 16:26";CET;481981;44413425.20;92.00;17/09/2025
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;4.64;4.64;4.45;4.48;"17/09/2025 16:25";CET;50047;227822.00;4.48;17/09/2025
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;267.50;268.50;265.40;265.40;"17/09/2025 16:26";CET;1442386;383381875.20;265.40;17/09/2025
DNO;NO0003921009;DNO;"Oslo Børs";NOK;14.33;14.63;14.25;14.63;"17/09/2025 16:25";CET;1537690;22302819.15;14.63;17/09/2025
"DOF GROUP";NO0012851874;DOFG;"Oslo Børs";NOK;97.30;97.45;96.55;97.05;"17/09/2025 16:25";CET;276124;26783049.75;97.05;17/09/2025
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;12.95;13.00;12.70;12.90;"17/09/2025 16:18";CET;19977;256570.05;12.90;17/09/2025
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;1.34;1.36;1.30;1.35;"17/09/2025 16:19";CET;95957;127497.60;1.35;17/09/2025
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;25.20;25.20;24.30;24.54;"17/09/2025 16:25";CET;849724;20916795.36;24.54;17/09/2025
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;9.88;9.91;9.62;9.77;"17/09/2025 16:25";CET;615273;6017713.69;9.77;17/09/2025
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;33.50;34.95;33.50;34.70;"17/09/2025 16:25";CET;179657;6239510.00;34.70;17/09/2025
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;47.00;47.00;46.05;46.05;"17/09/2025 16:25";CET;108798;5043585.35;46.05;17/09/2025
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;88.00;88.00;86.50;87.20;"17/09/2025 16:25";CET;82981;7220414.20;87.20;17/09/2025
"ENSURGE MICROPOWER";NO0013186460;ENSU;"Oslo Børs";NOK;1.158;1.21;1.138;1.192;"17/09/2025 16:25";CET;1742385;2043652.41;1.192;17/09/2025
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;125.80;125.80;122.20;123.20;"17/09/2025 16:25";CET;34683;4272398.20;123.20;17/09/2025
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Oslo Børs";NOK;78.60;84.60;77.40;83.60;"17/09/2025 16:27";CET;285411;23216407.20;83.60;17/09/2025
